单词,词性1,词性2,词性3,词性4,词性5,释义1,释义2,释义3,释义4,释义5,现在分词,过去式,过去分词,词组,备注
soul,n.,"灵魂,心灵;精神,精力;人",,,,,,,,,,,,,
sound,n.,声音,v.,"发声,响",adj.,"健全的,完好的;正当的",,,,,sounding,sounded,sounded,,
soup,n.,汤,,,,,,,,,,,,,
sour,adj.,酸的;发酸的;酸痛的;脾气坏的;刻薄的,,,,,,,,,,,,,
source,n.,"源,源泉;来源, 出处",,,,,,,,,,,,,
south,n.,"南,南方,南部",adj.,"南方的,南部的",,,,,,,,,,,
southeast,n.&adj.,"东南(的),东南部(的)",,,,,,,,,,,,,
southern,adj.,"南方的,南部的",,,,,,,,,,,,,
southwest,n.&adj.,"西南(的),西南部(的)",,,,,,,,,,,,,
sovereign,adj.,独立的，有主权的,n.,君主，国王，统治者,,,,,,,,,,,
sow,v.,播种,,,,,,,,,sowing,sowed,sown/sowed,,
space,n.,"间隔;空地,余地;空间",v.,"留间隔, 隔开",,,,,,,spacing,spaced,spaced,,
spacecraft,n.,宇宙飞船,,,,,,,,,,,,,
spaceship,n.,宇宙飞船,,,,,,,,,,,,,
spacious,adj.,广阔的，宽敞的,,,,,,,,,,,,,
spade,n.,"铁锹,铲子",,,,,,,,,,,,,
span,n.,"跨度,跨距",,,,,,,,,,,,,
spare,adj.,"多余的,备用的",v.,"节约,节省;抽出(时间)",,,,,,,sparing,spared,spared,,
spark,n.,"火花,火星",v.,"发火花,发电花",,,,,,,sparking,sparked,sparked,,
sparkle,v.,"发火花, 闪耀",,,,,,,,,sparkling,sparkled,sparkled,,
spatial,adj.,空间的，空间上的,,,,,,,,,,,,,非大纲单词
speak,v.,说话，讲话；演说，发言；(in)说某种语言,,,,,,,,,speaking,spoke,spoken,,
speaker,n.,说话者，发言者；说某种语言者；扬声器,,,,,,,,,,,,,
spear,n.,"矛,枪",,,,,,,,,,,,,
special,adj.,"特殊的,专门的;附加的,额外的",,,,,,,,,,,,,
specialist,n.,专家,,,,,,,,,,,,,
speciality,n.,(specialty)特性，性质；专业/长；特产,,,,,,,,,,,,,
specialize,v.,"(specialise)(in)专攻,专门研究,专业化",,,,,,,,,specializing,specialized,specialized,,
species,n.,"(物)种,种类",,,,,,,,,,,,,
specific,adj.,"明确的,具体的;特定的,特有的",,,,,,,,,,,,,
specification,n.,"详述;(常 pl.)规格,说明书,规范",,,,,,,,,,,,,
specify,v.,"指定,详细说明",,,,,,,,,specifying,specified,specified,,
specimen,n.,"标本,样本",,,,,,,,,,,,,
spectacle,n.,"(pl.)眼镜;场面,景象;奇观,壮观",,,,,,,,,,,,,
spectacular,adj.,"壮观的, 引人注目的",n.,壮观的演出,,,,,,,,,,,
spectator,n.,"观众,旁观者",,,,,,,,,,,,,
spectrum,n.,谱，光谱，频谱；范围，幅度，系列,,,,,,,,,,,,,
speculate,vi.,思索；推测,vt.,投机；思索，推测,,,,,,,speculating,speculated,speculated,,
speech,n.,"演说,讲话;言语,语言",,,,,,,,,,,,,
speed,n.,"速度,快",v.,"迅速,前进,急行;加速,使加速",,,,,,,speeding,sped/speeded,sped/speeded,,
spell,v.,拼写,,,,,,,,,spelling,spelt/spelled,spelt/spelled,,
spelling,n.,"拼法,拼写法",,,,,,,,,,,,,
spend,v.,"花费;消耗,用尽;度过,消磨",,,,,,,,,spending,spent,spent,,
sphere,n.,"球,球体;范围,领域",,,,,,,,,,,,,
spicy,adj.,加很多香料的；(口味)浓郁的,,,,,,,,,,,,,
spider,n.,蜘蛛,,,,,,,,,,,,,
spill,v.,"溢出,溅出",n.,"摔下,跌下",,,,,,,spilling,spilt/spilled,spilt/spilled,,
spin,v.,"旋转;纺纱;织网,吐丝",n.,旋转;自转,,,,,,,spinning,spun,spun,,
spine,n.,脊柱，脊椎；(动植物的)刺；书脊,,,,,,,,,,,,,
spiral,adj.,螺旋形的,n.,螺旋，螺线,v.,螺旋上升；盘旋,,,,,spiraling,spiraled,spiraled,,
spirit,n.,"精神;志气;(pl.)情绪,心情;(pl.)酒精",,,,,,,,,,,,,
spiritual,adj.,"精神(上)的,心灵的",,,,,,,,,,,,,
spit,v.,"吐(唾沫),吐痰",n.,唾液,,,,,,,spitting,spat/spit,spat/spit,,
spite,n.,恶意;怨恨,,,,,,,,,,,,,
splash,v.,"溅,泼",n.,"溅,飞溅声",,,,,,,splashing,splashed,splashed,,
splendid,adj.,"壮丽的,辉煌的;极好的",,,,,,,,,,,,,
split,v.,"裂开,劈开;分裂,分离",n.,"分化,分裂,裂口",,,,,,,splitting,split,split,,
spoil,v.,"损坏,搞错;宠坏,溺爱",,,,,,,,,spoiling,spoilt/spoiled,spoilt/spoiled,,
spokesman,n.,发言人,,,,,,,,,,,,,
sponge,n.,海绵,,,,,,,,,,,,,
sponsor,n.,"发起人,主力者,保证人",v.,"发起,主办",,,,,,,sponsoring,sponsored,sponsored,,
spontaneous,adj.,"自发的, 自然产生的",,,,,,,,,,,,,
spoon,n.,"匙,调羹",,,,,,,,,,,,,
sport,n.,(体育)运动(pl.)运动会,vi.,开玩笑；玩耍,,,,,,,sporting,sported,sported,,
sportsman,n.,爱好运动的人；运动员,,,,,,,,,,,,,
spot,n.,斑点;地点,v.,"认出,认清,发现;玷污,弄脏",,,,,,,spotting,spotted,spotted,,
spouse,n.,配偶(指夫或妻),,,,,,,,,,,,,
spray,n.,"喷雾,飞沫,浪花,水花",v.,"喷,喷射",,,,,,,spraying,sprayed,sprayed,,
spread,v.&n.,"伸开,伸展;散布,传播",,,,,,,,,spreading,spread,spread,,
spring,n.,"春;跳;泉,源泉;弹簧,发条",v.,"跳,跳跃",,,,,,,springing,sprang/sprung,sprung,,
sprinkle,n.,"洒,喷,淋",,,,,,,,,,,,,
sprout,vi.,发芽，抽条,vt.,使发芽,n.,新芽，嫩苗,,,,,sprouting,sprouted,sprouted,,
spur,n.,"靴刺,马刺;刺激,刺激物",v.,"刺激,激励",,,,,,,spurring,spurred,spurred,,
spy,n.,间谍,v.,"当间谍,刺探;察觉,发现",,,,,,,spying,spied,spied,,
square,n.,正方形;广场,adj.,正方形的,v.,使成方形,,,,,squaring,squared,squared,,
squeeze,v.,"压榨,挤",n.,"榨取,勒索",,,,,,,squeezing,squeezed,squeezed,,
squirrel,n.,松鼠,,,,,,,,,,,,,
stab,v.&n.,"刺,戳",,,,,,,,,stabbing,stabbed,stabbed,,
stability,n.,"稳定,安定",,,,,,,,,,,,,
stable,adj.,"稳定的,安定的",n.,"马厩,马棚",,,,,,,,,,,
stack,n.,"堆,一堆",v.,"堆积,堆起",,,,,,,stacking,stacked,stacked,,
stadium,n.,体育场,,,,,,,,,,,,,
staff,n.,"全体职工;杠,棒;参谋部",v.,配备工作人员,,,,,,,staffing,staffed,staffed,,
stage,n.,"舞台,戏剧;阶段,时期",,,,,,,,,,,,,
stagger,vi.,摇晃着移动;蹒跚,n.,摇晃不稳的动作;蹒跚,,,,,,,staggering,staggered,staggered,,
stain,n.,"污点,瑕疵",v.,沾污;染色,,,,,,,staining,stained,stained,,
stair,n.,(pl.)楼梯,,,,,,,,,,,,,
staircase,n.,(stairway)楼梯,,,,,,,,,,,,,
stake,n.,"桩,标桩;赌注,利害关系",,,,,,,,,,,,,
stale,n.,"变质的,不新鲜的;陈旧的,陈腐的",,,,,,,,,,,,,
stalk,n.,茎，梗,vt.,悄悄地跟踪,vi.,高视阔步地走,,,,,stalking,stalked,stalked,,
stall,n.,"货摊;畜栏,厩",v.,"(使)停转,(使)停止",,,,,,,stalling,stalled,stalled,,
stamp,n.,邮票;印;跺脚;标志,v.,"跺脚,顿足;盖章",,,,,,,stamping,stamped,stamped,,
stand,vi.,站立；位于；经受,n.,台，座；货摊；立场,,,,,,,standing,stood,stood,,
standard,n.,"标准,规则",adj.,标准的,,,,,,,,,,,
standpoint,n.,"立场,观点",,,,,,,,,,,,,
staple,n.,主要产品；名产；纤维；主要成分，主食,,,,,,,,,,,,,
star,n.,星；恒星；明星,v.,用星号标出；扮演主角,,,,,,,starring,starred,starred,,
stare,v.,"(at)盯,凝视",,,,,,,,,staring,stared,stared,,
start,v.,"开始;动身;吃惊;开办,开动",n.,开端;惊起,,,,,,,starting,started,started,,
startle,v.,"惊吓,使吃惊",,,,,,,,,startling,startled,startled,,
starve,v.,"(使)饿死,饿得慌,挨饿",,,,,,,,,starving,starved,starved,,
state,n.,"状态,情况;国,州",v.,"陈述,说明",,,,,,,stating,stated,stated,,
statement,n.,"声明,陈述",,,,,,,,,,,,,
statesman,n.,"政治家, 国务活动家",,,,,,,,,,,,,
static,adj.,"(statical)静态的,静力的",,,,,,,,,,,,,
station,n.,"车站;所,站,局;身份,地位",v.,"安置,驻扎",,,,,,,stationing,stationed,stationed,,
stationary,adj.,"静止的, 固定的",,,,,,,,,,,,,
stationery,n.,文具,,,,,,,,,,,,,
statistical,adj.,"统计的,统计学的",,,,,,,,,,,,,
statue,n.,"塑像,雕像",,,,,,,,,,,,,
status,n.,"地位,身份;情形,状况",,,,,,,,,,,,,
statute,n.,成文法，法令，法规；章程，规则，条例,,,,,,,,,,,,,
stay,vi.,逗留；保持,vt.,停止，延缓,n.,逗留，停留,,,,,staying,stayed,stayed,,
steady,adj.,"稳定的,不变的;坚定的",v.,(使)稳固/稳定,,,,,,,steadying,steadied,steadied,,
steak,n.,牛排；大块肉(或鱼)片,,,,,,,,,,,,,
steal,v.,"偷,窃取;偷偷地做,巧取",,,,,,,,,stealing,stole,stolen,,
steam,n.,"水汽,蒸汽,水蒸气",v.,蒸发;蒸;用蒸汽开动,,,,,,,steaming,steamed,steamed,,
steamer,n.,"汽船,轮船",,,,,,,,,,,,,
steel,n.,钢,,,,,,,,,,,,,
steep,adj.,陡峭的；险峻的；急剧升降的,vt.,"浸泡,沉浸",,,,,,,steeping,steeped,steeped,,
steer,vt.,驾驶，为…操舵；引导,vi.,驾驶,,,,,,,steering,steered,steered,,
stem,n.,茎，干,vt.,堵(挡)住,vi.,起源于，由…造成,,,,,stemming,stemmed,stemmed,,
step,n.,"步;台阶,梯级;步骤,措施",v.,"踏,走,举步",,,,,,,stepping,stepped,stepped,,
stereo,n.,立体声音响；立体声装置,n.&adj.,立体声(的),,,,,,,,,,,
stereotype,n.,陈规，老套，模式化,vt.,使定型，使模式化,,,,,,,stereotyping,stereotyped,stereotyped,,
stern,adj.,"严厉的;坚决的,坚定的",n.,"船尾,舟尾",,,,,,,,,,,
steward,n.,乘务员，服务员；看管人；膳食管理员,,,,,,,,,,,,,
stick,n.,"棍,棒,手杖",v.,"刺,戳,扎;粘贴",,,,,,,sticking,stuck,stuck,,
sticky,adj.,粘的，粘性的；棘手的；(道路)泥泞的,,,,,,,,,,,,,
stiff,adj.,"硬的,僵直的;拘谨的;呆板的;艰难的",,,,,,,,,,,,,
still,adj.,静止的，寂静的,adv.,还，仍然；更；安静地,,,,,,,,,,,
stimulate,v.,"刺激,使兴奋;激励,鼓舞",,,,,,,,,stimulating,stimulated,stimulated,,
sting,v.&n.,"刺,刺痛,剧痛;刺,叮",,,,,,,,,stinging,stung,stung,,
stir,v.,"搅拌,搅动;动,摇动;激动;轰动;煽动,鼓动",,,,,,,,,stirring,stirred,stirred,,
stitch,n.,一针；(因跑步引起的)肋部剧痛,v.,缝(合),,,,,,,stitching,stitched,stitched,,
stock,n.,"备料,库存,现货;股票,公债",v.,储存,,,,,,,stocking,stocked,stocked,,
stocking,n.,长(统)袜,,,,,,,,,,,,,
stomach,n.,胃，胃口；肚子，腹部,vt.,承受，忍受,,,,,,,stomaching,stomached,stomached,,
stone,n.,石，石头；岩石，矿石；(水果的)核、子,,,,,,,,,,,,,
stool,n.,凳子；(pl.)大便,,,,,,,,,,,,,
stoop,v.,"弯腰,俯身",n.,"弯腰, 曲背",,,,,,,stooping,stooped,stooped,,
stop,v.,"停止;塞住;阻止, 阻挠;逗留",n.,停车站;停止,,,,,,,stopping,stopped,stopped,,
storage,n.,"贮藏(量),保管;库房",,,,,,,,,,,,,
store,n.,"商店,店铺;贮藏,贮备品",v.,"贮藏,贮备",,,,,,,storing,stored,stored,,
storey,n.,"(story)楼,层",,,,,,,,,,,,,
storm,n.,"暴风雨,暴风雪;激动,爆发",v.,"猛攻,直捣",,,,,,,storming,stormed,stormed,,
story,n.,"故事,传说,小说;(=storey)楼层",,,,,,,,,,,,,
stove,n.,"炉子,火炉",,,,,,,,,,,,,
straight,adj.,"直的;整齐的,端正的",adv.,"直接;正直,直率",,,,,,,,,,,
straightforward,adj.,"正直的;简单的, 易懂的",adv.,坦率地,,,,,,,,,,,
strain,v.,拉紧;紧张;扭伤;竭尽全力,n.,拉紧;负担,,,,,,,straining,strained,strained,,
strange,adj.,"奇怪的,奇异的;陌生的,生疏的;外地的",,,,,,,,,,,,,
stranger,n.,"陌生人,生客;外地人,外国人",,,,,,,,,,,,,
strap,n.,皮带，带子,v.,用带扣住，束牢；用绷带包扎,,,,,,,strapping,strapped,strapped,,
strategic,adj.,战略的，战略上的；关键的,,,,,,,,,,,,,非大纲单词
strategy,n.,战略，策略；对策，政策,,,,,,,,,,,,,
straw,n.,"稻草,麦杆;吸管",,,,,,,,,,,,,
strawberry,n.,草莓,,,,,,,,,,,,,
stream,n.,"小河,溪流;流,一股,一串",v.,"流出,涌",,,,,,,streaming,streamed,streamed,,
streamline,adj.,流线型的,vt.,使成流线型；使合理化,,,,,,,streamlining,streamlined,streamlined,,
street,n.,街，街道；行车道,,,,,,,,,,,,,
strength,n.,力，力量；实力；长处，优点；人力；兵力,,,,,,,,,,,,,
strengthen,v.,"加强,巩固",,,,,,,,,strengthening,strengthened,strengthened,,
strenuous,adj.,费力的，艰辛的；奋发的，努力的,,,,,,,,,,,,,
stress,n.,压力；重要性；应力；重音,vt.,强调，重读,,,,,,,stressing,stressed,stressed,,
stretch,v.,伸展，延伸,n.,拉长；伸展；一段时间/路程,,,,,,,stretching,stretched,stretched,,
strict,adj.,"(with)严格的,严厉的;严谨的,精确的",,,,,,,,,,,,,
stride,vi.,大踏步走；跨越,n.,一大步(pl.)长足进步,,,,,,,striding,strode,stridden,,
strife,n.,争吵；冲突，斗争；竞争,,,,,,,,,,,,,
strike,n.&vi.,罢工,vt.,打，击；攻击；给…深刻印象,,,,,,,striking,struck,struck/stricken,,
striking,adj.,显著的；惹人注目的，容貌出众的,,,,,,,,,,,,,
string,n.,"弦,线,细绳;(一串),(一行)",v.,"缚,捆",,,,,,,stringing,strung,strung,,
strip,v.,"剥,剥去",n.,"窄条,条纹",,,,,,,stripping,stripped,stripped,,
stripe,n.,长条，条纹；军服上表示军阶的臂章条纹,,,,,,,,,,,,,
strive,v.,"奋斗,努力",,,,,,,,,striving,strove,striven,,
stroke,n.,击;报时的钟声;一击/划/笔;中风,v.,抚摸,,,,,,,stroking,stroked,stroked,,
stroll,n.&v.,漫步；散步；游荡,,,,,,,,,strolling,strolled,strolled,,
strong,adj.,"强壮的,强大的;强烈的,浓的",,,,,,,,,,,,,
structure,n.,"结构,构造;建筑物",v.,"构造,建造",,,,,,,structuring,structured,structured,,
struggle,n.&v.,"斗争,奋斗,努力",,,,,,,,,struggling,struggled,struggled,,
stubborn,adj.,"顽固的,倔强的;难对付的,难以克服的",,,,,,,,,,,,,
student,n.,(大中学校的)学生；研究者，学者,,,,,,,,,,,,,
studio,n.,画室;播音室;(电影)制片厂,,,,,,,,,,,,,
study,vt.,学习；研究；细看,vi.,读书,n.,学习；研究,,,,,studying,studied,studied,,
stuff,n.,"原料,材料,东西",v.,"填满,塞满",,,,,,,stuffing,stuffed,stuffed,,
stumble,n.,跌倒，绊倒,vi.,绊(摔)倒；结结巴巴说,,,,,,,stumbling,stumbled,stumbled,,
stun,vt.,使…失去知觉；使目瞪口呆，使吃惊,,,,,,,,,stunning,stunned,stunned,,
stupid,adj.,"愚蠢的,迟钝的",,,,,,,,,,,,,
sturdy,adj.,坚定的，不屈不挠的；强健的，结实的,,,,,,,,,,,,,
style,n.,"风格,文体;式样,时式,类型",,,,,,,,,,,,,
subject,n.,主题;学科,adj.,隶属的;易遭.. 的,v.,使隶属,,,,,subjecting,subjected,subjected,,
subjective,adj.,主观(上)的，个人的,,,,,,,,,,,,,
submarine,n.,潜水艇,adj.,"水底的,海底的",,,,,,,,,,,
submerge,v.,"沉没,淹没;潜入",,,,,,,,,submerging,submerged,submerged,,
submit,v.,"(to)使服从,屈服;(to)呈送,提交",,,,,,,,,submitting,submitted,submitted,,
subordinate,adj.,"(to)次要的,从属的;下级的",,,,,,,,,,,,,
subscribe,vi.,(to)订阅，订购；同意,vt.,捐助，赞助,,,,,,,subscribing,subscribed,subscribed,,
subsequent,adj.,"随后的,后来的",,,,,,,,,,,,,
subsidy,n.,补助金；津贴费,,,,,,,,,,,,,
substance,n.,物质；实质，本质；主旨；财产，资产,,,,,,,,,,,,,
substantial,adj.,实质的;相当的;显著的;坚固的;富裕的,,,,,,,,,,,,,
substitute,n.,代替者；替身；代用品,v.,"(for)代替,替换",,,,,,,substituting,substituted,substituted,,
subtle,adj.,"精巧的,巧妙的;细微的,微妙的",,,,,,,,,,,,,
subtract,v.,(from)减(去),,,,,,,,,subtracting,subtracted,subtracted,,
suburb,n.,"市郊,郊区",,,,,,,,,,,,,
subway,n.,地铁；地下行人隧道,,,,,,,,,,,,,
succeed,vi.,成功；继承，接替,vt.,接替；继…之后,,,,,,,succeeding,succeeded,succeeded,,
success,n.,成就，成功；成功的事物，有成就的人,,,,,,,,,,,,,
successful,adj.,圆满的；顺利的；成功的,,,,,,,,,,,,,
succession,n.,"连续,系列;继任,继承",,,,,,,,,,,,,
successive,adj.,"接连的,连续的",,,,,,,,,,,,,
successor,n.,接替的人或事物，继任者,,,,,,,,,,,,,
such,adj.,这样的;上述的,adv.,那么,pron.,这样的人/事物,,,,,,,,,
suck,v.&n.,吸，舐；吸收(取),,,,,,,,,sucking,sucked,sucked,,
sudden,adj.,出乎意料的，突然的,,,,,,,,,,,,,
sue,v.,"控告,对…提出诉讼,起诉",,,,,,,,,suing,sued,sued,,
suffer,v.,"(from)受痛苦,患病;受损失;遭受;忍受",,,,,,,,,suffering,suffered,suffered,,
suffice,v.,充足，足够,vt.,(食物等)使(某人)满足,,,,,,,sufficing,sufficed,sufficed,,
sufficient,adj.,"(for)足够的,充分的(比 enough 拘谨、正式)",,,,,,,,,,,,,
sugar,n.,糖，食糖,vt.,加糖于,,,,,,,sugaring,sugared,sugared,,
suggest,v.,"建议,提出；使联想,使想起；暗示",,,,,,,,,suggesting,suggested,suggested,,
suggestion,n.,建议，意见；细微的迹象；暗示，联想,,,,,,,,,,,,,
suicide,n.,自杀；给自己带来恶劣后果的行为,,,,,,,,,,,,,
suit,v.,"合适,适合;相配,适应",n.,一套西服;诉讼,,,,,,,suiting,suited,suited,,
suitable,adj.,"(for)合适的,适宜的",,,,,,,,,,,,,
suite,n.,套间；一套家具；套，组，系列,,,,,,,,,,,,,
sulfur,n.,(sulphur)硫,,,,,,,,,,,,,
sum,n.,"总数,和;金额;算术题;要旨",v.,"合计,总计",,,,,,,summing,summed,summed,,
summarize,v.,"(summarise)概括,总结",,,,,,,,,summarizing,summarized,summarized,,
summary,n.,"摘要,概要",adj.,"概括的,简略的",,,,,,,,,,,
summer,n.,夏天，夏季,adj.,夏季的,,,,,,,,,,,
summit,n.,顶，最高点；颠峰，高峰；最高级会议,,,,,,,,,,,,,
summon,v.,"召唤;传讯,传唤;鼓起(勇气),振作(精神)",,,,,,,,,summoning,summoned,summoned,,
sun,n.,太阳；恒星；美国 Sun 公司,,,,,,,,,,,,,
Sunday,n.,星期日,,,,,,,,,,,,,
sunrise,n.,日出，拂晓；朝霞,,,,,,,,,,,,,
sunset,n.,日落，傍晚；晚霞,,,,,,,,,,,,,
sunshine,n.,"日光, 日照；晴天",,,,,,,,,,,,,
super,adj.,"极好的,超级的",,,,,,,,,,,,,
superb,adj.,"极好的,杰出的；华丽的",,,,,,,,,,,,,
superficial,adj.,"表面的;肤浅的,浅薄的",,,,,,,,,,,,,
superfluous,adj.,多余的，过剩的,,,,,,,,,,,,,
superior,adj.,"优良的,卓越的;上级的",n.,上级;长者;高手,,,,,,,,,,,
superiority,n.,优越(性)，优势，优等；高傲，傲慢,,,,,,,,,,,,,
supermarket,n.,超级市场,,,,,,,,,,,,,
supersonic,adj.,"超音速的,超声波的",n.,超声波，超声频,,,,,,,,,,,
superstition,n.,迷信，迷信的观念习俗,,,,,,,,,,,,,
supervise,v.,"管理,监督",,,,,,,,,supervising,supervised,supervised,,
supper,n.,晚餐,,,,,,,,,,,,,
supplement,n.,补遗;增刊;附录,v.,"增刊,补充",,,,,,,supplementing,supplemented,supplemented,,
supply,v.,"(with,to)供给,供应,补足",n.,"供应,供应量",,,,,,,supplying,supplied,supplied,,
support,n.&vt.,支撑;支持;赡养;维持,n.,支持者;支柱,,,,,,,supporting,supported,supported,,
suppose,v.,"料想,猜想;假定",conj.,假使...结果会怎样,,,,,,,supposing,supposed,supposed,,
suppress,v.,"镇压,压制;抑制,忍住;查禁",,,,,,,,,suppressing,suppressed,suppressed,,
supreme,adj.,"极度的,最重要的;至高的,最高的",,,,,,,,,,,,,
sure,adj.,肯定的；一定会…的；有信心的，有把握的,,,,,,,,,,,,,
surface,n.,表面；外表,adj.,表面的，肤浅的,,,,,,,,,,,
surge,vi.,汹涌；彭湃；蜂拥而至,n.,巨浪;汹涌;彭湃,,,,,,,surging,surged,surged,,
surgeon,n.,外科医生,,,,,,,,,,,,,
surgery,n.,"外科,外科学;手术室,诊疗室",,,,,,,,,,,,,
surname,n.,姓,,,,,,,,,,,,,
surpass,vt.,"超过,胜过",,,,,,,,,surpassing,surpassed,surpassed,,
surplus,n.,"过剩,剩余；余款,余额",adj.,"过剩的,剩余的",,,,,,,,,,,
surprise,v.,"使诧异,使惊异;奇袭",n.,"诧异,惊异;奇袭",,,,,,,surprising,surprised,surprised,,
surrender,vi.,投降，屈服,vt.,放弃，交出,n.,投降，认输,,,,,surrendering,surrendered,surrendered,,
surround,vt.,包围，环绕,n.,环绕物,,,,,,,surrounding,surrounded,surrounded,,
surroundings,n.,"周围的事物,环境",,,,,,,,,,,,,
survey,v.&n.,"俯瞰,眺望;全面审视,调查;测量图,勘定",,,,,,,,,surveying,surveyed,surveyed,,
survival,n.,"幸存,生存;幸存者,残存物",,,,,,,,,,,,,
survive,v.,"幸免于,幸存;比…长命",,,,,,,,,surviving,survived,survived,,
susceptible,adj.,易受影响的;易受感动的;易受感染的,,,,,,,,,,,,,
suspect,v.,猜想；怀疑；察觉,adj.,可疑的,n.,嫌疑犯,,,,,suspecting,suspected,suspected,,
suspend,v.,悬(浮)，挂；暂停，取消；推迟,,,,,,,,,suspending,suspended,suspended,,
suspicion,n.,怀疑，猜疑；一点儿，少量,,,,,,,,,,,,,
suspicious,adj.,"(of)可疑的,多疑的,疑心的",,,,,,,,,,,,,
sustain,vt.,"支撑,撑住;维持,持续,经受,忍耐",,,,,,,,,sustaining,sustained,sustained,,
sustainability,n.,可持续性,,,,,,,,,,,,,非大纲单词
swallow,n.,燕子;吞咽,vt.,"吞,咽;轻信;忍受",vi.,咽口水,,,,,swallowing,swallowed,swallowed,,
swamp,n.,沼泽；湿地,vt.,浸没；使…应接不暇,,,,,,,swamping,swamped,swamped,,
swan,n.,天鹅,vi.,闲荡，游荡,,,,,,,swanning,swanned,swanned,,
swarm,n.,蜂群;一大群,vi.,涌往;挤满;云集;成群移动,,,,,,,swarming,swarmed,swarmed,,
sway,vi.,摇动；倾斜,vt.,使摇动,n.,摇动；影响力,,,,,swaying,swayed,swayed,,
swear,v.,"(at)诅咒,骂人;宣誓,发誓",,,,,,,,,swearing,swore,sworn,,
sweat,n.,汗,v.,(使)出汗,,,,,,,sweating,sweat/sweated,sweat/sweated,,
sweater,n.,"毛衣,绒衣,厚运动衫",,,,,,,,,,,,,
sweep,v.,"扫,打扫;席卷,冲光;扫过,掠过",,,,,,,,,sweeping,swept,swept,,
sweet,adj.,"甜的;可爱的,美好的",n.,(常 pl.)糖果;甜食,,,,,,,,,,,
swell,n.&v.,肿胀;膨胀;增大;增加,,,,,,,,,swelling,swelled,swollen/swelled,,
swift,adj.&adv.,快的(地);敏捷的(地),adj.,立刻的,n.,雨燕,,,,,,,,,
swim,vi.,游泳;游;漂浮;眩晕;充溢,vt.,游过,n.,游泳,,,,,swimming,swam,swum,,
swing,v.,"摇摆,摇荡, 回转,旋转",n.,"秋千;摇摆,摆动",,,,,,,swinging,swung,swung,,
switch,n.,开关；转换；鞭子,v.,"转变,转换；抽打",,,,,,,switching,switched,switched,,
sword,n.,剑，刀；武力,,,,,,,,,,,,,
symbol,n.,"符号,标志;象征",,,,,,,,,,,,,
symmetry,n.,"对称(性);匀称,整齐",,,,,,,,,,,,,
sympathetic,adj.,有同情心的；赞同的,n.,交感神经,,,,,,,,,,,
sympathize,v.,"(sympathise)(with)同情;共鸣, 同感;赞成",,,,,,,,,sympathizing,sympathized,sympathized,,
sympathy,n.,同情，同情心；赞同，同感；慰问,,,,,,,,,,,,,
symphony,n.,"交响乐,交响曲",,,,,,,,,,,,,
symposium,n.,"讨论会,专题报告会;专题论文集",,,,,,,,,,,,,
symptom,n.,"(疾病的)症状；(不好事情的)征兆,表征",,,,,,,,,,,,,
syndrome,n.,综合病征；并存特性,,,,,,,,,,,,,
synthesis,n.,"(pl.syntheses)综合,合成",,,,,,,,,,,,,
synthetic,adj.,"合成的,人造的;综合的",,,,,,,,,,,,,
system,n.,系统，体系；制度；方法，方式，步聚,,,,,,,,,,,,,
systematic,adj.,"(systematical)系统的,有组织的",,,,,,,,,,,,,
table,n.,桌子;餐桌;工作台;表格,vt.,搁置;提交讨论,,,,,,,tabling,tabled,tabled,,
tablet,n.,"药片;碑,匾",,,,,,,,,,,,,
tackle,n.,"滑车;用具,器械",v.,"处理,解决;抱住,抓住",,,,,,,tackling,tackled,tackled,,
tactic,n.,"(tactics)策略,战术",,,,,,,,,,,,,
tag,n.,标签;鞋带;垂饰,vt.,加标签于;附加,vi.,紧随,,,,,tagging,tagged,tagged,,
tail,n.,尾巴；尾部；跟踪者,vt.,尾随，跟踪,,,,,,,tailing,tailed,tailed,,
tailor,n.,裁缝,v.,"缝制,剪裁",,,,,,,tailoring,tailored,tailored,,
take,v.,拿取；吃；记录；取得；花费；捕获；认为,,,,,,,,,taking,took,taken,,
tale,n.,"故事,传说",,,,,,,,,,,,,
talent,n.,"才能,天资;人才",,,,,,,,,,,,,
talk,n.,谈话；聊天；讲话；演讲,v.,说话；交谈,,,,,,,talking,talked,talked,,
tall,adj.,"(身材)高的,高大的；夸大的,离谱的",,,,,,,,,,,,,
tame,adj.,"驯服的,温顺的;沉闷的,乏味的",vt.,驯服,,,,,,,taming,tamed,tamed,,
tan,n.&adj.,(皮肤因日晒而成)棕褐色(的),vt.,晒黑,,,,,,,tanning,tanned,tanned,,
tangle,n.,纠缠；缠结；混乱,v.,(使)缠绕；变乱,,,,,,,tangling,tangled,tangled,,
tank,n.,"罐,槽,箱；坦克",vt.,储于槽中,,,,,,,tanking,tanked,tanked,,
tanker,n.,油船,,,,,,,,,,,,,
tap,n.,塞子;水龙头,n.&v.,"轻打,轻敲",vt.,开发,,,,,tapping,tapped,tapped,,
tape,n.,"带(子);录音带,磁带",v.,"录音;系,捆",,,,,,,taping,taped,taped,,
tar,n.,柏油，焦油,vt.,涂或浇柏油/焦油于,,,,,,,tarring,tarred,tarred,,
target,n.,"目标,对象,靶子",,,,,,,,,,,,,
tariff,n.,"关税,税率;(旅馆,饭店等)价目表,收费表",,,,,,,,,,,,,
task,n.,"任务,作业,工作",,,,,,,,,,,,,
